movie,review_title,review,review_rating
Masaan,What we have is Better,Masaan is movie what indian cinema needed very beautiful and Simple story which everyone can relete and tight screenplay and complete original banaras is showed and Details are been sharpened in movie and Center cast of movie has done Very good job but Vicky kaushal show his potential its an must watch for people like me who always life is cruel with only me just go and watch movie what going in our Society Bow to director of movie for making it RAW Cinema.,9/10
Soodhu Kavvum,Fantastic,"Wooooooow.
Love you setupathi.
You always rocks
Fantastic movie",8/10
Epic Movie,Epic Movie has WAY lower standards than classics like Airplane! and Blazing Saddles,"When I was a kid I watched movies like Blazing Saddles and Airplane! Both were (and still are) hilariously funny to me and while I knew they both were spoofing certain genres and even certain movies I never thought it was essential to see the original sources in order to get the jokes. Also, while the gags were the thing, I also think a little more attention was paid to both characterization and plot. As a result, little dated either one. Watch something like Epic Movie, however, and you can't help but think they've thrown everything (from various TV shows and movies) but the kitchen sink (and no sink is literally thrown as far as I can tell). This results in such a hodge podge of parodies upon parodies that the plot gets interrupted constantly and characterization (what there is of it) is violated for cheap laughs (of which there were few on my side). I did like the performances of Fred Willard and Jennifer Coolidge. Otherwise, this was mostly a waste of time for me.",2/10
Mary and Max,chocolate hotdogs....,"A homely, friendless Australian girl picks a name out of a phone book and writes to him, and sends a chocolate bar.She's Mary, the only child of an alcoholic mother and a distracted father. He's Max, living alone in New York, overweight, subject to anxiety attacks.He writes back, with chocolate. Thus begins a 20-year correspondence, interrupted by a stay in an asylum and a few misunderstandings.Mary falls in love, saves money to have a birthmark removed and deals with loss.Max has a friendship, and tries to control his weight....This is an oddity of a film. At first glance, I didn't think I was going to enjoy it. The animation is thoroughly depressive throughout, and Humphries narration grates a little.But as the film progresses, you find yourself falling in love with the titular characters, and really hope that they meet come the end.You feel Marys desperation when she upsets the Aspergers suffering Max, and hop all seems lost, when he sends her the typewriter letter.Believe me, come the end of the film, you will be crying like a baby, because its probably the saddest ending to a film I have seen in a very long time.So all in all, it's a wonderfully written film, which starts off a little slow, but all of a sudden, you really get lost into the two characters.",7/10
Rush,Racing on,"I remember as a kid watching the final race of the 1976 F1 season live on television and the tussle between Niki Lauda and James Hunt in the porung rain.It was only when I was older I realised what Lauda had gone through in the earlier part of the season when he suffered a horrendous crash and burns to his body.Rush is a film about two committed, driven, at times equally infuriating and detestable racers.Lauda the calculating, loner from a business minded family who was a well known strategist. He knew how to set up his racing car.Daniel Brühl captures the spirit of this almost cold, aloof character who will then have to recover from an almost fatal accident and make him appear human, even likable.Chris Hemsworth has the showy role as the wild, erratic, playboy James Hunt.The guy always looking to have a good time partying. He is reckless on the track, Hunt the shunt is his nickname.However Hunt as his own demons and in the 1976 Formula 1 season, he spends most of his time chasing Lauda who had a dominant points tally.Unlike other race films, director Ron Howard did not have to try too hard in getting a thrilling storyline. Real life provided it.Lauda was well ahead in the championship until his accident which allowed Hunt to claw back. Lauda miraculously recovered enough despite his burns and returned to racing and the title went to the final race decider.Both actors capture the spirit of the people they portray. Hunt became well known to racing fans after his retirement as a F1 commentator and Hemsworth does well in getting his vocal mannerisms with maybe just a lapse or two to his Aussie accent.I reckon the film would have little interest to those who despise racing but for others there is plenty of thrills here.",7/10
Jaws 3-D,"Jaws 3, Audience 0","It took three screenwriters (Carl Gottlieb, Michael Kane, and the estimable Richard Matheson) to concoct what is surely the lamest suspense movie in history. Chief Brody's oldest son has grown up and become Dennis Quaid, working as a manager at Sea World Florida; after receiving a visit from his sea-shy brother, Quaid, girlfriend Bess Armstrong (who resembles Lorraine Gary, the original Mrs. Brody), and other park employees capture a Great White shark--a feat they will live to regret! Originally shown in 3-D, the movie-monster is mainly seen via underwater stock footage. When an actual Jaws is required, director Joe Alves unveils nothing more than a rubberized dummy. Alves has fun foisting severed limbs (not to mention the head of a fish!) at the camera in an attempt to raise chills, but any audience worth their salt won't be rooting for the swimmers. NO STARS from ****",1/10
Dev.D,Devdas 'Redefined',"DevD is a romantic black comedy movie starring Abhay Deol and debutant Mahie Gill and Kalki Koechlin with Dibyendu Bhattacharya.This movie is a typical Anurag Kashyap Brainchild with Sex, Drugs, liquor and very little violence although Anurag Kashyap is known for violence.The film tells the story of modern Devdas and his life.The movie is been scripted and directed very well and full credit should be given to the director and scriptwriter.The screenplay of the movie is also good and will keep you glued to the movie. Also special mention of the background score of the movie as it supports the scenes with an apt. The special mention to the MMS scandal which shook the country was beautifully linked with the story and also showed the aftermath of that scandal.As far as acting is concerned Abhay Deol is one of the most underrated talent of the Bollywood and he had done an amazing role. Mahie Gill was also very good although she was doing her first film but was very impressive. In my opinion Kalki koechlin is one of the most overrated actress and her immaturity as a fresher can be seen many times during the movie.Overall an entertaining typical 'Anurag Kashyap' movie.",9/10
Ship of Theseus,Intriguing and Thought-Provoking Piece of Independent Indian Cinema!,"Anand Gandhi's first feature-length film is an intriguing and thought-provoking piece of Independent cinema; it deals with life, purpose and philosophy. Gandhi's prior experience with short films helps him direct the three disparate story lines with certain finesse; the stories shed some light on Theseus's Paradox and give a transcendent look at consequences arising from individual actions.In Greek Legend, according to Plutarch, Theseus's ship was preserved, and the decayed parts were replaced piece by piece until no part of the original ship remained. Plutarch asks whether you would call it the same ship or not. The paradox might seem too confusing to discuss, but Anand Gandhi just uses this to connect the three plots through the theme of organ donation, questioning identity in the face of change. Rather than making a statement, Gandhi just raises interest and discusses various important philosophies and issues; having compelling arguments for and against the topics, it helps us being a part of the discussion.The characters are likable and interesting. All the actors have done a commendable job, and Neeraj Kabi's brilliant performance as the Jain monk stands out. As the three stories go, the first one (with the blind Egyptian photographer) deals with behaviour to change, the second one (with the animal-rights supporting Jain monk) might seem more philosophically and intellectually orgasmic, but it's the third one (with a stock broker seeking justice for a kidney scam victim) which oozes with brutal honesty. The use of humour to lighten the serious tone of the movie is delightful.The cinematography is spectacular. Rarely have I seen such breathtaking visuals in an Independent film; the shots have a certain poetic and aesthetic charm. The blend of far-off shots and sudden close-ups gives us an intimate look at the characters' lives.The movie is really good, but far from perfection. 2 hours 20 minutes is too long for the movie; with better editing, it could have maintained the pace and momentum well. And as most movies with multiple story lines suffer from this, the characters lack enough depth and screen-time for us to invest ourselves in them. The first story, though the idea of a blind photographer is a bit far-fetched, suffers from an abrupt ending. The second story has many interesting viewpoints and arguments, but part of them seem off-the-book and pretentious; it suffers from an illogical ending too. The third story, though quite honest and absorbing, is quite messy and detours from the main theme of the movie.From writing screenplay and dialogues for cheesy soap operas to an intellectual independent feature film, Anand Gandhi has come a long way; I guess his experience as a playwright and short-film director must have come in handy.",7/10
Piranha 3DD,Three cheers for the Hoff!,"Piranha 3DD starts with a short recap of the disastrous happenings of Piranha 3D before plunging us into the toothsome little devils' latest escapade - mayhem in a water park. There is some backstory, but it really doesn't matter - all that matters are the sporadic chompings of individuals leading up to the wholesale slaughter which comprises the final section.For those who saw the first movie, there is little to surprise them here - a moderate amount of nudity, a huge amount of gore, a cast of unknowns, and a scattering of cameos (Christopher Lloyd and Ving Rhames made return visits). There is an attempt to recapture the gleeful sleazy trashiness of its predecessor, although I felt it tried a bit too hard, and lost some of the innocent sense of fun to be had among the severed penis sequences (and, yes, I am quite aware of how ludicrous that sentence sounds).Making up for everything, though, is a wonderfully funny and self-deprecating performance from David Hasselhoff - the Hoff lampoons his own perceived pomposity mercilessly and with pinpoint accuracy. There are some highly entertaining outtakes scattered through the closing credits.",7/10
Rebecca,A sumptuous Gothic...,"Daphne Du Maurier's novel becomes a handsome romantic-thriller from director Alfred Hitchcock involving a naïve young woman (Joan Fontaine) who weds a wealthy, mysterious man (Laurence Olivier) and moves into his imposing castle filled with memories of his deceased first wife. Despite a stiff opening reel, ""Rebecca"" is a well-mounted psychological melodrama in the ""Jane Eyre"" vein. Judith Anderson's Mrs. Danvers has been interpreted (and misinterpreted) to death--she's indeed a little grandiose--though it's still a stunning characterization: a steely-eyed villainess who ranks right up there with the most enjoyable cinema-baddies. The movie gushes and flutters over Olivier almost as much as Fontaine does; he's quite good, but this turns out to be Joan's picture. Increasingly insecure, nervous, chatty and overeager, Fontaine runs the gamut of emotions and is never less than compelling. 11 Oscar nominations with two wins: George Barnes for hsi cinematography and for Best Picture. *** from ****",7/10
The Emoji Movie,Not that great!,"Review:
My expectations for this movie really wasn't that high, especially after reading all of the bad reviews but after watching it, I was surprised to see that it actually had a back story. Although it's made for kids, we all can relate to the various apps which are mentioned throughout the film, and the different emoji's which help us to make texting easier but from an entertainment point of view, it really didn't do it for me. The jokes are pretty weak, for kids and adults, along with the storyline which become tedious after a while. Anyway, the movie is based within a phone, were the Emojis live in the city of Textopolis, hoping to be used by the user. Like every phone, each emoji has there own face expression, except for Gene (T.J. Miller) who can change his expressions, which is against there policy. When Gene is finally up to become an emoji on the users phone, he's unable to stick to one expression, which crashes the emoji database. The leader of the emojis, Smiler (Maya Rudolph) is forced to punish Gene for crashing the database, by deleting him all together, so he escapes from Textopolis, with the help of Hi-5 (James Corden) and Jailbreak (Anna Faris), and they try to break back into the phone with Smilers soldiers close behind them. Jailbreak uses her skills to get Gene back into the phone but they have to go through various apps to get through the backdoor in the users phone. While they are doing this, the users phone isn't working properly, so he goes to the App Store to delete all the apps, which will destroy Textopolis. With there life's in danger, and time against them, Gene and his pals have to convince the user that they should stay on the phone, even though Gene caused all of the problems in the first place. It's quite a sweet story, and the relationship between Gene and Jailbreak was quite emotional but it was all a bit childish for me. The animation was half decent but nothing amazing, and the various characters wasn't too bad, especially Hi-5 but there wasn't memorable moments. Personally I think that the director made a bad movie out of a good idea, which is why it didn't go down to well with audiences, even though it made a hefty profit. Disappointing!Round-Up:
This movie was directed and written by Tony Leondis, 50, who also brought you Lilo & Stitch 2 and Igor. With all of the different emojis, the director could have gone in many directions with this film but he chose to stick to one character, which was a bad choice in my eyes. His previous projects also wasn't that great, so I think that Sony made a big mistake picking him for the project. As I wasn't expecting much from this film, I wasn't that surprised with the outcome so it just has to go down as a bad attempt at a good concept.Budget: $50million
Worldwide Gross: $217millionGenre: Animation, Adventure, Comedy
Cast: T.J. Miller, James Corden, Anna Faris, Maya Rudolph, Steven Wright, Jennifer Coolidge, Patrick Stewart, Christina Aguilera, Sofia Vergera, Rachael Ray, Sean Hayes and Jake T. Austin. 3/10",3/10
Udaan,An insightful and must watch take on adolescence with a hidden message.,"Adolescence is one of those rare subjects on which we haven't witnessed many movies made in Bollywood. Therefore UDAAN comes as a pleasant surprise from a debutant director Vikramaditya Motwane, who boldly makes his first movie on an important subject and delivers a fine polished product proving his unique thought process with a style.First of all the film is not preachy as it may seem to be from its look and promos. It's a simple story of a young boy and his relationship with his rigid father and helpless younger step brother told in the most simplistic way. But as it is said, 'The beauty lies in its simplicity', UDAAN becomes worth watching because it's truthfully simple without any added flavors or colors.It starts superbly with its first 20 minutes depicting the mischievous days of 4 young friends living in a boarding school. The sequence of their running from the school to watch an adult movie in the night show sets the mood in for the viewers. But this particular section of the film indisputably belongs to Manjot Singh alone (the young Lucky from 'Oye Lucky Lucky Oye""), as he clearly outshines everyone on the screen with his famous realistic dialogue delivery style and comic persona. After its funny half an hour, UDAAN takes a serious turn and then moves into a completely different shell talking about the difficulties faced by a young boy while interacting with his ruler kind of a father. At this stage the narration becomes serious and the pace slows down drastically. But very soon you find yourself involved in this little family of three men living in the same house as strangers.In every family, a young male child always has his own contradictions with his father. There is difference of opinion, difference of vision and most probably the fight is over the issue of the stream or line in which the child desires to make a career in. UDAAN rightly focuses on this relevant issue and therefore every young boy watching the movie would easily relate to the script and the characters in a big way.The movie may not find a thumbs up from every section of the viewers as its basically meant for the fans of realistic cinema who are used to a slower pace and can appreciate the social subject of the script. It also has some minor flaws in its charactersiation like, how can a child steal money and car from his father who has a reign of fear in the family and yet cannot revolt right away. But even after these minor glitches, it still remains a well crafted film standing out of all those usual projects offered to us in 2010.In real terms there are few visible and one invisible aspect of ""UDAAN"", which makes it a worth watching project.The visible aspects mainly include the outstanding confrontation sequences between the father and the son about their different styles of living and choice of professions. Both Rajat Barmecha as the young boy and Ronit Roy as the father truly excel in their scenes together. Then just watch out for the young kid Aayan Boradia, playing the silent step son, who mutely keeps suffering the merciless beatings of his father and doesn't utter a word. He is simply adorable and loving with his innocent smile and dialogues. And then there are two sparkling performances by Ram Kapoor and Manjot Singh. Especially the silent conversation scenes between Ram and Rajat are a treat to watch. Finally the most impactful visible aspect of the movie remains its climax where Rajat along with his writer Anurag Kashyap and director Motwane defines the meaning of their title ""UDAAN"" in an exceptional way. In fact the concluding scene of the movie is capable of lifting up every viewer from his seat in sheer joy.Coming to the invisible but in my opinion the most important aspect of ""UDAAN"", which puts it in a completely different league, is the way it expresses the need of A MOTHER in every child's life. The film makes you feel the incomparable role of a female or a mother in a family who cannot be replaced by any amount of love, compassion or care provided by the other members. A mother, who can finish off all the differences in a family with her kind presence, love and calmness. A mother, who in disguise is just GOD living in our homes for taking care of us in the needy times. And a Mother whose debt we cannot repay in any form in our whole life on this planet.Both the director and the writer need to be congratulated on this hidden aspect of the movie which may not strike all the viewers at first. But if you can think for a moment, then all the sufferings in the movie are only there due to the missing factor in the family called ""MOTHER"".So, in a way ""UDAAN"" also makes you realize this Biggest Gift of God to the mankind by very softly portraying the fact that a family becomes completely dry and stiff in absence of a motherly abode. I hope the film encourages every son or daughter to remember that they are blessed to have their mothers around them in this tender age and they do take care and love her to the best of their abilities forever. Summing up, its a recommended flick since it has an important message for all fathers and families having their kids in the adolescence age. And indeed a must watch for its invisible merit, indicating the role of a Mother in a happy family.(The movie right away moves into my ""Movies To See Before You Die"" list cause it makes you realize the most precious gift of God to us and that's our Mother.)",9/10
Santa Claus Conquers the Martians,A must-see if to see how hysterically bad it is,"I wouldn't put among the worst of the worst, but to be honest Santa Claus Conquers the Martians is not a good movie in my view. However, it is definitely worth seeing to see how bad it is. I do think the film starts off well, the first twenty minutes are refreshing and entertaining. After that, it is a different story, and although it is a mess it is hard not to be entertained by it.First off, while the sets aren't too bad, the effects are hysterically awful and the costumes especially with the martians are pretty hideous. The cinematography is also rather shoddy. The music is okay, but gets too much after a while. With Hooray for Santa Claus, I wasn't sure whether to cry ""Three cheers for Santa Claus"" or ""Bah humbug"".The script is appalling mostly, cloying and unintentionally camp, while the story is incoherent and mean-spirited and there are some real pacing problems especially in the middle. The acting is not great either, John Call initially seemed a good choice for Santa with just the right charisma, but he is too jolly and he looked drunk or out of it in some way. I think a previous commentator is right, maybe he did read the script, knew it was terrible and decided to play along.Overall, pretty bad but entertaining also. 3/10 Bethany Cox",3/10
Dasvidaniya,Best movie of 2008,"Usually all of us make movie-watching decisions based on the reviews we read – IMDb, Rajeev Masand on CNN-IBN, Khalid Mohammed in Hindustan Times or Raja Sen on rediff. If you read at least a couple of these reviews, you usually get a very good idea of what a particular movie is like. I have another personal test – admittedly a sort of rough indicator. In case of mainstream Hindi movies, just look at the schedule of a multiplex when the movie is released. So if a movie has 6-7 shows a day, it's a decent movie – while movies with just 1-2 shows in the first week are just bad. In case of a 'multiplex movie' like Johhny Gaddaar, it's the second week schedule to watch out for.However, sometimes these calculations go quite wrong. Dasvidaniya is one such movie. (In its second week, its running just 2 shows a day in all multiplexes – and all major reviews have given it two stars, blaming the slow narration and/or ridiculing the contents of the final list). And I thought it was one of the best movies of this year.Just for those few of you who don't know what the movie is about, it's about a common man – Amar Kaul – who leads a very dull and inconsequential middle class life, with nothing to look forward to except for his obsession with 'to-do' lists. He makes them everyday, ticking off things that he accomplishes – till he gets to know that he is terminally ill and has just three months to live.As he did during his lifetime, he decides to make a final list – 'Things to do (before I die)' and sets out to fulfill them.But this movie is too much to be summarized by just this one line! Sure that's the essence, but the movie has to be watched to appreciate the wonderfully tender moments captured by the director. Vinay Pathak plays the man with just three months to live, who suddenly has to fulfill a lifetime of ambitions – wishes which had been buried under the daily grind of existence. And the beauty of the script is in the things he chooses to put on the list. Nothing exotic or deliberated. Just simple heartfelt desires that probably most of us have – buying his first car or going on his first 'foreign trip'. Seeing his first and only crush Neha one final time - or meeting his childhood best-friend Rajiv before he dies.Some experiences are heartwarming, like his mom's reaction on seeing the new car - and some bittersweet, like finding out Neha is now married and a mother. There are many more touching moments - the final parting between Rajiv and Amar and making peace with Vivek – which linger on after the movie. Vinay Pathak gives a wonderful performance, first reflecting desperation, then a breakdown and finally a wistful acceptance of fate. Kailash Kher has given his unique touch to the music – and while Alvida is the number which everyone is humming, the Maa song is very nicely picturized (without too much overt sentimentality) – and is catchy too.Not all is perfect with the movie though – Amar's alter ego's appearance is a little jarring and he should have had less screen time. The Russian's popping-up act is also a little weird – but it also gives the movie its unique flavor. And if you think about it, how much money would an account manager's provident fund be left with, after a Rs. 9 lakh car and a round trip to the US ?? And wouldn't you want to leave it all to your mother instead?But inspite of these loopholes, this movie is one of the most warm and thoughtful movies to come out of Bollywood in sometime. The director cheekily doffs his hat to mainstream movies Kal Ho Naa Ho and Munnabhai – and indulges in a bit of genuinely funny situational comedy, but you would remember the movie for touching your heart in its earnestness and simplicity.",10/10
Lawrence of Arabia,One of the greatest movie of all times,"T.E. Lawrence (Peter O'Toole) has a minor function in Cairo during WWI. Nobody really cares about the Bedouin uprising against the Turks except for Lawrence and the Arab Bureau. He's sent for 3 months since he would be of no great lost. He learns the ways of the desert, and memorably encounters Sheriff Ali (Omar Sharif) at a well. He finds Prince Feisal (Alec Guinness) harassed by superior weapons, and the British unwilling to take Aqaba from the sea. So Lawrence proposes to take Aqaba from the desert and Feisal gives him 50 men.Director David Lean's vision is absolutely beautiful. The desert is beyond gorgeous. Peter O'Toole is brilliant. There is nothing inferior. It is all first rate. The bigger the screen, the better the movie looks. This is simply one of the best of all times.",10/10
Breach,Worst Movie Willis Has Been In,This movie was really terrible. I had to force myself to watch it to the very end. Even then I was staring at the screen in shock and disbelief at what I had just seen. Sad smoke filled nonsensical combat. Illogical alien behavior. Just bad bad bad writing. It's been a week since I watched it so I can't even recall all the reasons I hated it. What a terrible embarrassment for Willis. He should never have admitted to being in this movie. 2/10.,2/10
